keyword,tweet,clean_tokens,clean_text,lex_score,lex_label,ml_label
gojek,"Malamm butuh nokos?
Nala open sampai jam 2, fastrespon di wa yaa
– Nokos wa, gojek, shopee,
kopken, qpon, grab, dana,
fore, lazada, tomoro,
classpass, tokopedia,
bumble, tiktok, weibo,
janji jiwa, akulaku, dll, semuaaa app

(Bisa Verif Dulu, Bayar Akhir)
Adaa Qriss
#zonauang","['malamm', 'butuh', 'nokos', 'nala', 'open', 'jam', 'fastrespon', 'wa', 'yaa', 'nokos', 'wa', 'gojek', 'shopee', 'kopken', 'qpon', 'grab', 'dana', 'fore', 'lazada', 'tomoro', 'classpass', 'tokopedia', 'bumble', 'tiktok', 'weibo', 'janji', 'jiwa', 'akulaku', 'dll', 'semuaaa', 'app', 'verif', 'bayar', 'adaa', 'qriss', 'zonauang']",malamm butuh nokos nala open jam fastrespon wa yaa nokos wa gojek shopee kopken qpon grab dana fore lazada tomoro classpass tokopedia bumble tiktok weibo janji jiwa akulaku dll semuaaa app verif bayar adaa qriss zonauang,0.0,neutral,neutral
gojek,"@txtdrkuliner Bisa tahan max 3 hari, alasanya lebih hemat kalau langsung beli banyak di grab/gojek/aplikasi kopken.","['tahan', 'max', 'alasanya', 'hemat', 'langsung', 'beli', 'grabgojekaplikasi', 'kopken']",tahan max alasanya hemat langsung beli grabgojekaplikasi kopken,1.0,positive,positive
gojek,"Ready nokos guys!! Bisa untuk all apk ya. Bisa Claude ai, gojek, wa, grab, shopee, tokped, kopken, qpon, taobao, janji jiwa, tomoro, tiktok, fore, KFC, Gmail, dll. Cuss klik link di bio untuk order. Testi bisa liat di pinned 

#zonauang","['ready', 'nokos', 'guys', 'apk', 'ya', 'claude', 'ai', 'gojek', 'wa', 'grab', 'shopee', 'tokped', 'kopken', 'qpon', 'taobao', 'janji', 'jiwa', 'tomoro', 'tiktok', 'fore', 'kfc', 'gmail', 'dll', 'cuss', 'klik', 'link', 'bio', 'order', 'testi', 'liat', 'pinned', 'zonauang']",ready nokos guys apk ya claude ai gojek wa grab shopee tokped kopken qpon taobao janji jiwa tomoro tiktok fore kfc gmail dll cuss klik link bio order testi liat pinned zonauang,0.0,neutral,neutral
gojek,"ga sopan banget masukin orang random ke base. namanya jg transportasi umum tolol, kalo mau nyaman pakai kendaraan pribadi atau grab, gojek, taxi kan ada","['nggak', 'sopan', 'banget', 'masukin', 'orang', 'random', 'base', 'nama', 'transportasi', 'tolol', 'nyaman', 'pakai', 'kendara', 'pribadi', 'grab', 'gojek', 'taxi']",nggak sopan banget masukin orang random base nama transportasi tolol nyaman pakai kendara pribadi grab gojek taxi,-0.5,negative,negative
gojek,"Memang... tapi kadang suka dapet voucher sekian persen juga sih dari grab, kalo dari gojek jarang bgt dapet","['kadang', 'suka', 'dapet', 'voucher', 'sekian', 'persen', 'sih', 'grab', 'gojek', 'jarang', 'bgt', 'dapet']",kadang suka dapet voucher sekian persen sih grab gojek jarang bgt dapet,1.0,positive,positive
gojek,"ada yg marah2 sm pegawai KAI
ada yg marah2 sm abang gojek 
ada yg marah2 sm pedagang

berisik ya lu sesama kelas bawah 
dasar miskin, miskin akhlak lo semua

sama influencer aja lu subscribe konten exclusive","['yg', 'marah2', 'sm', 'pegawai', 'kai', 'yg', 'marah2', 'sm', 'abang', 'gojek', 'yg', 'marah2', 'sm', 'dagang', 'berisik', 'ya', 'lu', 'kelas', 'dasar', 'miskin', 'miskin', 'akhlak', 'lo', 'influencer', 'lu', 'subscribe', 'konten', 'exclusive']",yg marah2 sm pegawai kai yg marah2 sm abang gojek yg marah2 sm dagang berisik ya lu kelas dasar miskin miskin akhlak lo influencer lu subscribe konten exclusive,0.0,neutral,neutral
gojek,"org2 tuh pada tau bare minimum naik gojek ga sih i mean ojolnya jg nyari duitt kok bs seenaknya gt dh, mau cepet yaa naik motor sendiriii njirr","['org2', 'tuh', 'tau', 'bare', 'minimum', 'gojek', 'nggak', 'sih', 'mean', 'ojolnya', 'nyari', 'duitt', 'bs', 'gt', 'dh', 'cepet', 'yaa', 'motor', 'sendiriii', 'njirr']",org2 tuh tau bare minimum gojek nggak sih mean ojolnya nyari duitt bs gt dh cepet yaa motor sendiriii njirr,-0.5,negative,negative
gojek,"@Ordinaryjhonny kalo akun gojek nya wangi, murahan gofood kak","['akun', 'gojek', 'wangi', 'murah', 'gofood', 'kak']",akun gojek wangi murah gofood kak,-1.0,negative,negative
gojek,"setelah pegawai KAI, gojek hemat,  lalu ini. orang orang pada knp dah?","['pegawai', 'kai', 'gojek', 'hemat', 'orang', 'orang', 'knp', 'dah']",pegawai kai gojek hemat orang orang knp dah,1.0,positive,positive
gojek,"pake fitur hemat/reguler tergantung mindset sih. soale nek pemikiran cerdasku sih ngene, asal jarak dekat aku bakal pilih gojek/grab hemat. lalu selisih ongkosnya bisa dikasihin ke driver lewat fitur ""beri tip""","['pake', 'fitur', 'hematreguler', 'gantung', 'mindset', 'sih', 'soale', 'nek', 'pikir', 'cerdas', 'sih', 'ngene', 'jarak', 'pilih', 'gojekgrab', 'hemat', 'selisih', 'ongkos', 'dikasihin', 'driver', 'fitur', 'tip']",pake fitur hematreguler gantung mindset sih soale nek pikir cerdas sih ngene jarak pilih gojekgrab hemat selisih ongkos dikasihin driver fitur tip,1.0,positive,positive
gojek,bangun pagi ga sudi naik gojek juga ga sudi huf,"['bangun', 'pagi', 'nggak', 'sudi', 'gojek', 'nggak', 'sudi', 'huf']",bangun pagi nggak sudi gojek nggak sudi huf,-1.0,negative,negative
gojek,"@aishiteRIE2124 huhu kasian jadi abang gojeknyaa.Nah biar ngeramein abang gojeknya aku ada promo gojek yang super murcee dijamin ga bikin kantong kalian jeboll. Gas klaim
GOJEKFAJAR(promo gofood,goride/car)
GOWEEKEND
GOSTASIUN
COBAINGOJEK
biar makin hemat jan lupa di combo GOJEKPLUS guys https://t.co/o8QMcmoDSO","['huhu', 'kasi', 'abang', 'gojeknyaanah', 'biar', 'ngeramein', 'abang', 'gojek', 'promo', 'gojek', 'super', 'murcee', 'jamin', 'nggak', 'bikin', 'kantong', 'jeboll', 'gas', 'klaim', 'gojekfajarpromo', 'gofoodgoridecar', 'goweekend', 'gostasiun', 'cobaingojek', 'biar', 'hemat', 'jan', 'lupa', 'combo', 'gojekplus', 'guys']",huhu kasi abang gojeknyaanah biar ngeramein abang gojek promo gojek super murcee jamin nggak bikin kantong jeboll gas klaim gojekfajarpromo gofoodgoridecar goweekend gostasiun cobaingojek biar hemat jan lupa combo gojekplus guys,2.5,positive,positive
gojek,"berisik lu, pesen aja gojek sana","['berisik', 'lu', 'sen', 'gojek']",berisik lu sen gojek,0.0,neutral,neutral
gojek,"@jamban9 Kini ko bermula dari tiktok,
Mmg gadang cuan nyo disitu

Potongan gift jo lah ampia samo pulo jo gojek persentase nyo😁 gacor","['ko', 'tiktok', 'mmg', 'gadang', 'cuan', 'nyo', 'situ', 'potong', 'gift', 'jo', 'ampia', 'samo', 'pulo', 'jo', 'gojek', 'persentase', 'nyo', 'gacor']",ko tiktok mmg gadang cuan nyo situ potong gift jo ampia samo pulo jo gojek persentase nyo gacor,1.0,positive,neutral
gojek,"@Cetepbebek wahhh kerenn bgt kakk. wajib ditiru sihh. Nah biar ojol kalian makin murah aku ada promo gojek yang super murcee dijamin ga bikin kantong kalian jeboll. Gas klaim
GOJEKFAJAR(promo gofood,goride/car)
GOWEEKEND
GOSTASIUN
COBAINGOJEK
biar makin hemat jan lupa di combo GOJEKPLUS guys https://t.co/Ho6Kr71cww","['wahhh', 'kerenn', 'bgt', 'kakk', 'wajib', 'tiru', 'sihh', 'biar', 'ojol', 'murah', 'promo', 'gojek', 'super', 'murcee', 'jamin', 'nggak', 'bikin', 'kantong', 'jeboll', 'gas', 'klaim', 'gojekfajarpromo', 'gofoodgoridecar', 'goweekend', 'gostasiun', 'cobaingojek', 'biar', 'hemat', 'jan', 'lupa', 'combo', 'gojekplus', 'guys']",wahhh kerenn bgt kakk wajib tiru sihh biar ojol murah promo gojek super murcee jamin nggak bikin kantong jeboll gas klaim gojekfajarpromo gofoodgoridecar goweekend gostasiun cobaingojek biar hemat jan lupa combo gojekplus guys,1.5,positive,positive
gojek,@24xJam dan mau gk mau gojek ni ngadih uang 100 ribu padahal kata bapak tu kak saya baru keluar rumah,"['nggak', 'gojek', 'ni', 'ngadih', 'uang', '100', 'ribu', 'tu', 'kak', 'rumah']",nggak gojek ni ngadih uang 100 ribu tu kak rumah,-0.5,negative,negative
gojek,@24xJam yg gongnya mamanya liat anaknya yg salah asal lari aja nyeberang gitu eh yg di salahin gojek ni terus mintak uang pengobatan padahal ni anak gk kenapa napa di tabrak pun enggak tp mamanya mintak uang pengobatan udah anaknya yg lasak kali jadi org is amit amit kali,"['yg', 'gong', 'mama', 'liat', 'anak', 'yg', 'salah', 'lari', 'nyeberang', 'gitu', 'eh', 'yg', 'salahin', 'gojek', 'ni', 'mintak', 'uang', 'obat', 'ni', 'anak', 'nggak', 'napa', 'tabrak', 'tp', 'mama', 'mintak', 'uang', 'obat', 'udah', 'anak', 'yg', 'lasak', 'kali', 'org', 'amit', 'amit', 'kali']",yg gong mama liat anak yg salah lari nyeberang gitu eh yg salahin gojek ni mintak uang obat ni anak nggak napa tabrak tp mama mintak uang obat udah anak yg lasak kali org amit amit kali,-1.5,negative,negative
gojek,"@muncorner Tidur, hemat duit, hemat waktu (scroll shopee sama gojek lama banget). Kalo udh aslam gw milih minum obat dan tidur kembali (jangan ditiru)","['tidur', 'hemat', 'duit', 'hemat', 'scroll', 'shopee', 'gojek', 'banget', 'udh', 'aslam', 'gw', 'milih', 'minum', 'obat', 'tidur', 'tiru']",tidur hemat duit hemat scroll shopee gojek banget udh aslam gw milih minum obat tidur tiru,2.0,positive,positive
gojek,"@Ordinaryjhonny Ih menurut aku murahan gojek. sering2 deh cek resto mahal yg km ga kepikiran buat gofud… DISKONNYA GEDE BGT BJROT. Ex: sushi hiro, abuba, suck my duck, etc. Kalo buat group order pas bgt karena jd murah per orangnya🙂‍↕️🙂‍↕️ ga jarang jg payakumbuah 50rb berdua. https://t.co/PfMuimBSBO","['ih', 'murah', 'gojek', 'sering2', 'deh', 'cek', 'resto', 'mahal', 'yg', 'km', 'nggak', 'pikir', 'gofud', 'diskon', 'gede', 'bgt', 'bjrot', 'ex', 'sushi', 'hiro', 'abuba', 'suck', 'duck', 'etc', 'group', 'order', 'pas', 'bgt', 'murah', 'orang', 'nggak', 'jarang', 'payakumbuah', '50rb', 'dua']",ih murah gojek sering2 deh cek resto mahal yg km nggak pikir gofud diskon gede bgt bjrot ex sushi hiro abuba suck duck etc group order pas bgt murah orang nggak jarang payakumbuah 50rb dua,-4.0,negative,negative
gojek,"@24xJam aduh ingat ini jadi ingat kejadian dulu pulang kuliah naik ojek online terus di gg ku ni ada anak anak ha ni anak lasaknya naujubila x, terus dia keluar rumahnya langsung main lari aja dan gojek ni lewat posisi aku penumpangnya sepontan lah ngerem mendadak tp ni anak gapapa -","['aduh', 'jadi', 'pulang', 'kuliah', 'ojek', 'online', 'gg', 'ku', 'ni', 'anak', 'anak', 'ha', 'ni', 'anak', 'lasak', 'naujubila', 'rumah', 'langsung', 'main', 'lari', 'gojek', 'ni', 'posisi', 'tumpang', 'sepontan', 'ngerem', 'dadak', 'tp', 'ni', 'anak', 'gapapa']",aduh jadi pulang kuliah ojek online gg ku ni anak anak ha ni anak lasak naujubila rumah langsung main lari gojek ni posisi tumpang sepontan ngerem dadak tp ni anak gapapa,0.0,neutral,neutral
gojek,"apa susahnya pesen pas emg udh diluar? gojek ga akan selama itu dateng, sedangkan elu masih ngantri. https://t.co/cnMuHc9GFA","['susah', 'sen', 'pas', 'emg', 'udh', 'luar', 'gojek', 'nggak', 'dateng', 'elu', 'ngantri']",susah sen pas emg udh luar gojek nggak dateng elu ngantri,-0.5,negative,negative
gojek,@knockedheart cieeee boncengan pas lagi ujan ujannn sama mamang gojek,"['cieeee', 'bonceng', 'pas', 'ujan', 'ujannn', 'mamang', 'gojek']",cieeee bonceng pas ujan ujannn mamang gojek,0.0,neutral,neutral
gojek,"Sementara lagi rame soal gojek, admin dapet info soal adanya kemungkinan driver gocar yang bawa kabur laptop yang hilang

Ini identitasnya, buat detailnya kalian bisa cek twtnya kak @luberrrrr di reply dibawah https://t.co/r3f05o4SEy","['rame', 'gojek', 'admin', 'dapet', 'info', 'driver', 'gocar', 'bawa', 'kabur', 'laptop', 'hilang', 'identitas', 'detail', 'cek', 'twtnya', 'kak', 'reply', 'bawah']",rame gojek admin dapet info driver gocar bawa kabur laptop hilang identitas detail cek twtnya kak reply bawah,0.0,neutral,neutral
gojek,lu kalo mau enak silahkan naik grab/gojek/maxim/apapun itu alias mikir lah goblok... lu jahat banget tolol,"['lu', 'enak', 'silah', 'grabgojekmaximapapun', 'alias', 'mikir', 'goblok', 'lu', 'jahat', 'banget', 'tolol']",lu enak silah grabgojekmaximapapun alias mikir goblok lu jahat banget tolol,-2.0,negative,negative
gojek,@Cetepbebek Ini tuh sebenernya basic manner cust. Tapi klo cust udh ngelakuin ini tetep di kasih bintang  rendah sama driver😔 byk yg bilang karena gk ngasih tip. Info yg gk tau rating gojek klo makin rendah makin sudah dpt driver.,"['tuh', 'sebenernya', 'basic', 'manner', 'cust', 'cust', 'udh', 'ngelakuin', 'tetep', 'kasih', 'bintang', 'rendah', 'driver', 'byk', 'yg', 'bilang', 'nggak', 'ngasih', 'tip', 'info', 'yg', 'nggak', 'tau', 'rating', 'gojek', 'rendah', 'dpt', 'driver']",tuh sebenernya basic manner cust cust udh ngelakuin tetep kasih bintang rendah driver byk yg bilang nggak ngasih tip info yg nggak tau rating gojek rendah dpt driver,-1.0,negative,negative
gojek,"ya namanya juga transportasi umum, kalo emng u mau senyaman itu naik kendaraan pribadi/gojek","['ya', 'nama', 'transportasi', 'emng', 'nyaman', 'kendara', 'pribadigojek']",ya nama transportasi emng nyaman kendara pribadigojek,1.0,positive,positive
gojek,gojek emg makin hari makin biadab waktu  abis parade masa gw di halte balai ada yang cancel alesan JAUH padahal posisinya di MUI anjg,"['gojek', 'emg', 'biadab', 'abis', 'parade', 'gw', 'halte', 'balai', 'cancel', 'alesan', 'posisi', 'mui', 'anjg']",gojek emg biadab abis parade gw halte balai cancel alesan posisi mui anjg,0.0,neutral,neutral
gojek,"BlezzedGainz_ on insta (udh terima order ya , bisa lewat dm insta (X slowresp 🙏🏻) (Follow our insta acc and get disc 10% through dm orders (shipping can be through gojek drivers) , promo hanya berlaku bulan ini , tyy https://t.co/ivgN7WTsJU","['blezzedgainz', 'insta', 'udh', 'terima', 'order', 'ya', 'dm', 'insta', 'slowresp', 'follow', 'insta', 'acc', 'disc', '10', 'dm', 'orders', 'shipping', 'gojek', 'drivers', 'promo', 'laku', 'tyy']",blezzedgainz insta udh terima order ya dm insta slowresp follow insta acc disc 10 dm orders shipping gojek drivers promo laku tyy,1.0,positive,positive
gojek,"Jahat kamu, asal foto org sembarangan.
itu kan fasilitas umum yg bsa dipergunakan oleh siapa aja.
Nder smua yg kamu foto itu, org-org yg lagi berjuang utk menghidupi keluarganya.
Kalau memang kmu merasa terganggu bisa kamu pakai gojek online.
Please belajar utk rendah hati.","['jahat', 'foto', 'org', 'sembarang', 'fasilitas', 'yg', 'bsa', 'aja', 'nder', 'smua', 'yg', 'foto', 'orgorg', 'yg', 'juang', 'utk', 'hidup', 'keluarga', 'kmu', 'ganggu', 'pakai', 'gojek', 'online', 'please', 'ajar', 'utk', 'rendah', 'hati']",jahat foto org sembarang fasilitas yg bsa aja nder smua yg foto orgorg yg juang utk hidup keluarga kmu ganggu pakai gojek online please ajar utk rendah hati,-1.0,negative,neutral
gojek,"bacanya gue sedih dah, padahal sama-sama lagi berjuang cari rezeki ya. Kalau udah berlebihan pasti juga bakal ditegur sama satpam disitu, terus masalah bau kak sekarang ada yang namanya masker? atau kalau mau nyaman ada grab atau gojek?","['baca', 'gue', 'sedih', 'dah', 'samasama', 'juang', 'cari', 'rezeki', 'ya', 'udah', 'tegur', 'satpam', 'situ', 'bau', 'kak', 'nama', 'masker', 'nyaman', 'grab', 'gojek']",baca gue sedih dah samasama juang cari rezeki ya udah tegur satpam situ bau kak nama masker nyaman grab gojek,1.0,positive,positive
gojek,@BisKota_ @dmwsdq Lagian di palmerah ada gojek pickup point….oiya dah ilang thread aslinya 🤣,"['palmerah', 'gojek', 'pickup', 'point oiya', 'dah', 'ilang', 'thread', 'asli']",palmerah gojek pickup point oiya dah ilang thread asli,0.0,neutral,neutral
gojek,Sehat sehat bapak! Semoga rejeki berlimpahhh. Oh iya buat sender ga usah banyak gaya mending lu pake taxi sono atau ga gojek minimal,"['sehat', 'sehat', 'moga', 'rejeki', 'berlimpahhh', 'oh', 'iya', 'sender', 'nggak', 'gaya', 'mending', 'lu', 'pake', 'taxi', 'sono', 'nggak', 'gojek', 'minimal']",sehat sehat moga rejeki berlimpahhh oh iya sender nggak gaya mending lu pake taxi sono nggak gojek minimal,1.0,positive,positive
gojek,@ainurohman @AdjiPermana Tikor gojek dong plss,"['tikor', 'gojek', 'plss']",tikor gojek plss,0.0,neutral,neutral
gojek,"@adnardn Padahal lu bisa DM twitter ke gojek tentang keluh kesah, tanpa perlu di sebarin data pribadi si bapak driver. 

Terkadang memanusiakan manusia lebih baik.","['lu', 'dm', 'twitter', 'gojek', 'keluh', 'kesah', 'sebarin', 'data', 'pribadi', 'si', 'driver', 'terkadang', 'manusia', 'manusia']",lu dm twitter gojek keluh kesah sebarin data pribadi si driver terkadang manusia manusia,0.0,neutral,neutral
gojek,"hallo!! aku masih open nokos ridi banyak yak, gojek, grab, wa, shopee, tokopedia yukk sung ke tele/ wa fastrespon yak✨ #zonauang","['hallo', 'open', 'nokos', 'ridi', 'yak', 'gojek', 'grab', 'wa', 'shopee', 'tokopedia', 'yukk', 'sung', 'tele', 'wa', 'fastrespon', 'yak', 'zonauang']",hallo open nokos ridi yak gojek grab wa shopee tokopedia yukk sung tele wa fastrespon yak zonauang,0.0,neutral,neutral
gojek,"@treacheoruz eh tp cape bgt motor ke ketintang tuhh, gojek aja jirrr, bnrn klo gak well prepared secape itu coyyyy, blm lagi ktemu berbagai macam kendaraan","['eh', 'tp', 'cape', 'bgt', 'motor', 'ketintang', 'tuhh', 'gojek', 'jirrr', 'bnrn', 'gak', 'well', 'prepared', 'cape', 'coyyyy', 'blm', 'ktemu', 'kendara']",eh tp cape bgt motor ketintang tuhh gojek jirrr bnrn gak well prepared cape coyyyy blm ktemu kendara,-2.0,negative,neutral
gojek,"@cherriesboyd @Ordinaryjhonny Sama! Wkwk maklum msh kaum menengah jadi kalau mau jajan compare dulu trs tiap app tergantung promonya sih, kdg lebih murah di grab, kdg gojek, kdg shopee","['wkwk', 'maklum', 'msh', 'kaum', 'tengah', 'jajan', 'compare', 'trs', 'app', 'gantung', 'promonya', 'sih', 'kdg', 'murah', 'grab', 'kdg', 'gojek', 'kdg', 'shopee']",wkwk maklum msh kaum tengah jajan compare trs app gantung promonya sih kdg murah grab kdg gojek kdg shopee,-1.0,negative,negative
gojek,"‼️ ShopeeFood DISKON 100%
Max 30rb 💌
* Semua resto, pesanan terjadwal

Klaim dan belinya disiniii 👇
https://t.co/8h7LPu3baB
https://t.co/8h7LPu3baB

t. gofood grabfood kode promo go grab shopee food sfood voucher daget gojek gratis ongkir https://t.co/nWdLrunCzC","['', 'shopeefood', 'diskon', '100', 'max', '30rb', 'resto', 'pesan', 'jadwal', 'klaim', 'beli', 'disiniii', 'gofood', 'grabfood', 'kode', 'promo', 'go', 'grab', 'shopee', 'food', 'sfood', 'voucher', 'daget', 'gojek', 'gratis', 'ongkir']", shopeefood diskon 100 max 30rb resto pesan jadwal klaim beli disiniii gofood grabfood kode promo go grab shopee food sfood voucher daget gojek gratis ongkir,5.0,positive,positive
gojek,"@kegblgnunfaedh Udah sering ya orderan fiktif gini, grab dan gojek gamau cari cara nih gmn ngehilangin orderan fiktif ini?","['udah', 'ya', 'order', 'fiktif', 'gin', 'grab', 'gojek', 'gamau', 'cari', 'nih', 'gmn', 'ngehilangin', 'order', 'fiktif']",udah ya order fiktif gin grab gojek gamau cari nih gmn ngehilangin order fiktif,-3.0,negative,negative
gojek,"TOLOL!!

BIASAIN YA MESEN GOJEK ITU PAS LU UDAH DI TITIK JEMPUT!! PUKIMAK! 
PENUMPANG KEA BEGINI NIH YANG BIKIN LALU LINTAS MACET SOALNYA DRIVER HARUS NUNGGU DI PINGGIR JALAN

KONTOL PUKIMAK https://t.co/YLaUdcuzB8","['tolol', 'biasain', 'ya', 'mesen', 'gojek', 'pas', 'lu', 'udah', 'titik', 'jemput', 'pukimak', 'tumpang', 'kea', 'nih', 'bikin', 'lintas', 'macet', 'driver', 'nunggu', 'pinggir', 'jalan', 'kontol', 'pukimak']",tolol biasain ya mesen gojek pas lu udah titik jemput pukimak tumpang kea nih bikin lintas macet driver nunggu pinggir jalan kontol pukimak,-4.0,negative,negative
gojek,"KENAPA GAK DARITADIII gt padahal sengaja naik gojek biar gak telat, alhamdulillah dapet next driver yang komunikatif🥹 dan sampe rs walaupun udah mepet tapi gak telat😫","['gak', 'daritadiii', 'gt', 'sengaja', 'gojek', 'biar', 'gak', 'telat', 'alhamdulillah', 'dapet', 'next', 'driver', 'komunikatif', 'sampe', 'rs', 'udah', 'mepet', 'gak', 'telat']",gak daritadiii gt sengaja gojek biar gak telat alhamdulillah dapet next driver komunikatif sampe rs udah mepet gak telat,-1.0,negative,negative
gojek,"@jogja_base Gojek aja nderr lebih jelas yang bawa siapa jadi bisa ditracking kalau amit-amit kenapa""","['gojek', 'nderr', 'bawa', 'ditracking', 'amitamit']",gojek nderr bawa ditracking amitamit,0.0,neutral,neutral
gojek,"Dulu ga pernah pake grab selalu gojek, ternyata grab lebih murah. Mau coba langganan grab unlimited deh. Karena skrg aku sering bgt beli makan🥲","['nggak', 'pake', 'grab', 'gojek', 'grab', 'murah', 'coba', 'langgan', 'grab', 'unlimited', 'deh', 'skrg', 'bgt', 'beli', 'makan']",nggak pake grab gojek grab murah coba langgan grab unlimited deh skrg bgt beli makan,-1.5,negative,negative
gojek,"@jogja_base maaf, emg grab/gojek gaada kah?","['maaf', 'emg', 'grabgojek', 'gaada', 'kah']",maaf emg grabgojek gaada kah,-1.0,negative,negative
gojek,"Ayam Koplo by Hangry on SHOPEEFOOD DISKON jadi 7Ka an aja ✨😭 Nasi Ayam Goreng Penyet + Sambel 🍗 

Pakai voucher disini sekarang👇👇
https://t.co/UTasA2Zcdw
https://t.co/UTasA2Zcdw

t. gofood grabfood kode promo go grab shopee food sfood daget gojek thr shopeepay https://t.co/xh2GdxlkOp","['ayam', 'koplo', 'hangry', 'shopeefood', 'diskon', '7ka', 'nasi', 'ayam', 'goreng', 'penyet', 'sambel', 'pakai', 'voucher', 'gofood', 'grabfood', 'kode', 'promo', 'go', 'grab', 'shopee', 'food', 'sfood', 'daget', 'gojek', 'thr', 'shopeepay']",ayam koplo hangry shopeefood diskon 7ka nasi ayam goreng penyet sambel pakai voucher gofood grabfood kode promo go grab shopee food sfood daget gojek thr shopeepay,4.0,positive,positive
gojek,"Shopeefood Diskon 90% s/d 25rb ‼️ Khusus untuk resto tertentu! 🍝🍜

Cek dan klaim dari resto ini 👇
https://t.co/doSg7ARsJ8

t. gofood grabfood kode promo go grab shopee food sfood voucher gojek https://t.co/aNkFanc4gK","['shopeefood', 'diskon', '90', 'sd', '25rb', '', 'khusus', 'resto', 'cek', 'klaim', 'resto', 'gofood', 'grabfood', 'kode', 'promo', 'go', 'grab', 'shopee', 'food', 'sfood', 'voucher', 'gojek']",shopeefood diskon 90 sd 25rb  khusus resto cek klaim resto gofood grabfood kode promo go grab shopee food sfood voucher gojek,4.0,positive,positive
